AddressID,property_name,plug_load_consumption,ac_consumption,domestic_gas,heating_gas,kmeans_label,pca_1,pca_2,pca_3,pca_3,Address,Zipcode,Long,Lat,Energy,Measured,Energy in KWH,Annual Energy Bill (USD),Predicted,ReClustering
118 W 95th Street10018,CongregationOhabZedekSynagogue,0.247303428,0.244597867,0.04217742,0.096238836,0,-0.095470328,0.094969849,-0.095470328,0.094969849,118 W 95th Street,10018,-73.9690248,40.7923735,0.290053284,0.410304942,156079.9999," $28,094.40 ",0.102287229,0
173-01 108th Ave11433,4-203-236-StPaulUMC-Church,0.062714523,0.06868015,0.03943731,0.275925935,0,0.098176773,-0.088672092,0.098176773,-0.088672092,173-01 108th Ave,11433,-73.782794,40.700289,0.024013304,0.031600946,12020.99986," $2,163.78 ",0.091012091,0
141 West 115th Street10026,MemorialBaptistChurch,0.131636782,0.026451239,0.006798486,0.06752404,0,0.125802717,0.117764127,0.125802717,0.117764127,141 West 115th Street,10026,-73.9520856,40.8023865,0.127249169,0.152684017,58081.00007," $10,454.58 ",0.064535536,0
976 Park Place11213,AnchorHouse-ParkPl,0.611094914,0.445722173,0.186123337,0.233742672,3,-0.531299129,0.021997308,-0.531299129,0.021997308,976 Park Place,11213,-73.9451961,40.6729456,0.57894899,0.475394322,180840.0001," $32,551.20 ",0.323269619,1
162-02 Highland Ave11432,FirstUMCofJamaica-Church,0.041558249,0.045669262,0.032615968,0.013421099,0,0.165547924,0.162795548,0.165547924,0.162795548,162-02 Highland Ave,11432,-73.7955014,40.7117876,0.05009617,0.083806519,31879.99983," $5,738.40 ",0.06739626,0
162-02 Highland Ave11432,FirstUMCofJamaica-Parsonage,0.026744364,0.029426505,0.002246327,0.213167304,0,0.171046581,-0.037258415,0.171046581,-0.037258415,162-02 Highland Ave,11432,-73.7955014,40.7117876,0.05009617,0.015628286,5944.999994," $1,070.10 ",0.059239676,0
162-02 Highland Ave11432,FirstUMCofJamaica-EdBuilding,0.044741142,0.049171275,0.056549957,0.013768023,0,0.149503378,0.167612492,0.149503378,0.167612492,162-02 Highland Ave,11432,-73.7955014,40.7117876,0.05009617,0.121532597,46230.9999," $8,321.58 ",0.139144835,0
1041 Bergen St.11216,AnchorHouse-BergenSt,0.311512429,0.464248806,0.196247911,0.58403966,2,-0.410155785,-0.35319473,-0.410155785,-0.35319473,1041 Bergen St.,11216,-73.9519127,40.6763333,0.393803516,0.447528917,170240," $30,643.20 ",0.318612031,1
200-08 Murdock Ave11412,GraceUMCofStAlbans-Church,0.131873752,0.088835456,0.017916684,0.35794058,2,0.04237244,-0.16542696,0.04237244,-0.16542696,200-08 Murdock Ave,11412,-73.754153,40.699882,0.136266339,0.221427445,84231.00008," $15,161.58 ",0.1695706,1
200-08 Murdock Ave11412,GraceUMCofStAlbansParsonage,0.068087713,0.073325275,0.023926269,0.240173014,0,0.104952733,-0.05705938,0.104952733,-0.05705938,200-08 Murdock Ave,11412,-73.754153,40.699882,0.136266339,0.021004206,7989.999962," $1,438.20 ",0.033913123,0
